Item,Value,comment1,GPIO_pin
PAD_PUPD0_REG_OFS,0,,
PAD_CGPIO_BASE,0,,
PAD_PGPIO_BASE,40,,
PAD_DGPIO_BASE,c0,,
PAD_LGPIO_BASE,100,,
PAD_SGPIO_BASE,180,,
PAD_HSIGPIO_BASE,240,,
PAD_DSIGPIO_BASE,576,,
PAD_AGPIO_BASE,280,,
PAD_DS_CGPIO_BASE,800,,
PAD_DS_PGPIO_BASE,880,,
PAD_DS_DGPIO_BASE,980,,
PAD_DS_LGPIO_BASE,a00,,
PAD_DS_SGPIO_BASE,b00,,
PAD_DS_HSIGPIO_BASE,c00,,
PAD_DS_DSIGPIO_BASE,c80,,
PAD_DS_AGPIO_BASE,D00,,
PAD_NONE,0,,
PAD_PULLDOWN,1,,
PAD_PULLUP,2,,
PAD_DRIVINGSINK_LEVEL_0,0,,
PAD_DRIVINGSINK_LEVEL_1,1,,
PAD_DRIVINGSINK_LEVEL_2,2,,
PAD_DRIVINGSINK_LEVEL_3,3,,
PAD_DRIVINGSINK_LEVEL_4,4,,
PAD_DRIVINGSINK_LEVEL_5,5,,
PAD_DRIVINGSINK_LEVEL_6,6,,
PAD_DRIVINGSINK_LEVEL_7,7,,
PAD_DRIVINGSINK_LEVEL_8,8,,
PAD_DRIVINGSINK_LEVEL_9,9,,
PAD_DRIVINGSINK_LEVEL_10,A,,
PAD_DRIVINGSINK_LEVEL_11,b,,
PAD_DRIVINGSINK_LEVEL_12,c,,
PAD_DRIVINGSINK_LEVEL_13,d,,
PAD_DRIVINGSINK_LEVEL_14,e,,
PAD_DRIVINGSINK_LEVEL_15,f,,
PAD_PIN_CGPIO0,0,C_GPIO_0,
PAD_PIN_CGPIO1,2,C_GPIO_1,
PAD_PIN_CGPIO2,4,C_GPIO_2,
PAD_PIN_CGPIO3,6,C_GPIO_3,
PAD_PIN_CGPIO4,8,C_GPIO_4,
PAD_PIN_CGPIO5,A,C_GPIO_5,
PAD_PIN_CGPIO6,C,C_GPIO_6,
PAD_PIN_CGPIO7,E,C_GPIO_7,
PAD_PIN_CGPIO8,10,C_GPIO_8,
PAD_PIN_CGPIO9,12,C_GPIO_9,
PAD_PIN_CGPIO10,14,C_GPIO_10,
PAD_PIN_CGPIO11,16,C_GPIO_11,
PAD_PIN_CGPIO12,18,C_GPIO_12,
PAD_PIN_CGPIO13,1A,C_GPIO_13,
PAD_PIN_CGPIO14,1C,C_GPIO_14,
PAD_PIN_CGPIO15,1E,C_GPIO_15,
PAD_PIN_CGPIO16,20,C_GPIO_16,
PAD_PIN_CGPIO17,22,C_GPIO_17,
PAD_PIN_CGPIO18,24,C_GPIO_18,
PAD_PIN_CGPIO19,26,C_GPIO_19,
PAD_PIN_CGPIO20,28,C_GPIO_20,
PAD_PIN_CGPIO21,2A,C_GPIO_21,
PAD_PIN_CGPIO22,2C,C_GPIO_22,
PAD_PIN_CGPIO23,2E,C_GPIO_23,
PAD_PIN_PGPIO0,40,P_GPIO_0,
PAD_PIN_PGPIO1,42,P_GPIO_1,
PAD_PIN_PGPIO2,44,P_GPIO_2,
PAD_PIN_PGPIO3,46,P_GPIO_3,
PAD_PIN_PGPIO4,48,P_GPIO_4,
PAD_PIN_PGPIO5,4A,P_GPIO_5,
PAD_PIN_PGPIO6,4C,P_GPIO_6,
PAD_PIN_PGPIO7,4E,P_GPIO_7,
PAD_PIN_PGPIO8,50,P_GPIO_8,
PAD_PIN_PGPIO9,52,P_GPIO_9,
PAD_PIN_PGPIO10,54,P_GPIO_10,
PAD_PIN_PGPIO11,56,P_GPIO_11,
PAD_PIN_PGPIO12,58,P_GPIO_12,
PAD_PIN_PGPIO13,5A,P_GPIO_13,
