Item,Value,comment1,GPIO_pin
PIN_FUNC_SDIO,0,,
,,,
PIN_FUNC_NAND,1,,
,,,
PIN_FUNC_ETH,2,,
,,,
PIN_FUNC_I2C,3,,
,,,
PIN_FUNC_PWM,4,,
,,,
PIN_FUNC_PWMII,5,,
,,,
PIN_FUNC_PWMIII,6,,
,,,
PIN_FUNC_CCNT,7,,
,,,
PIN_FUNC_SENSOR,8,,
,,,
PIN_FUNC_SENSOR2,9,,
,,,
PIN_FUNC_SENSOR3,10,,
,,,
PIN_FUNC_SENSORMISC,11,,
,,,
PIN_FUNC_SENSORSYNC,12,,
,,,
PIN_FUNC_AUDIO,13,,
,,,
PIN_FUNC_UART,14,,
,,,
PIN_FUNC_UARTII,15,,
,,,
PIN_FUNC_CSI,16,,
,,,
PIN_FUNC_REMOTE,17,,
,,,
PIN_FUNC_SDP,18,,
,,,
PIN_FUNC_SPI,19,,
,,,
PIN_FUNC_SIF,20,,
,,,
PIN_FUNC_MISC,21,,
,,,
PIN_FUNC_LCD,22,,
,,,
PIN_FUNC_TV,23,,
,,,
PIN_FUNC_SEL_LCD,24,,
,,,
PIN_FUNC_MAX,25,,
,,,
PIN_SDIO_CFG_NONE,0,,
PIN_SDIO_CFG_SDIO_1,1,SDIO  (MC[12..17]),MC12[]|MC13[]|MC14[]|MC15[]|MC16[]|MC17[]
PIN_SDIO_CFG_SDIO2_1,16,SDIO2 (MC18..23]),MC18[]|MC19[]|MC20[]|MC21[]|MC22[]|MC23[]
PIN_SDIO_CFG_SDIO3_1,256,SDIO3 (MC[0..3] MC[8..9]),MC0[]|MC1[]|MC2[]|MC3[]|MC8[]|MC9[]
PIN_SDIO_CFG_SDIO3_BUS_WIDTH,512,SDIO3 bus width 8 bits (MC[4..7]),MC4[]|MC5[]|MC6[]|MC7[]
PIN_SDIO_CFG_SDIO3_DS,1024,SDIO3 data strobe      (MC[10]),MC10[]
,,,
PIN_NAND_CFG_NONE,0,,
PIN_NAND_CFG_NAND_1,1,FSPI     (MC[0..3] MC[8] MC[11]),MC0[]|MC1[]|MC2[]|MC3[]|MC8[]|MC11[]
PIN_NAND_CFG_NAND_2,2,FSPI     (MC[0..8] MC[10] MC[11]),MC0[]|MC1[]|MC2[]|MC3[]|MC4[]|MC5[]|MC6[]|MC7[]|MC8[]|MC10[]|MC11[]
PIN_NAND_CFG_NAND_CS1,4,FSPI CS1 (MC[9]),MC9[]
,,,
PIN_ETH_CFG_NONE,0,,
PIN_ETH_CFG_ETH_RMII_1,1,ETH_RMII_1         (L_GPIO[0..6]),L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]
PIN_ETH_CFG_ETH_RMII_2,2,ETH_RMII_2         (L_GPIO[11..13] L_GPIO[17..20]),L_GPIO11[]|L_GPIO12[]|L_GPIO13[]|L_GPIO17[]|L_GPIO18[]|L_GPIO19[]|L_GPIO20[]
PIN_ETH_CFG_ETH_RGMII,16,ETH_RGMII_1        (L_GPIO[11..22]),L_GPIO11[]|L_GPIO12[]|L_GPIO13[]|L_GPIO14[]|L_GPIO15[]|L_GPIO16[]|L_GPIO17[]|L_GPIO18[]|L_GPIO19[]|L_GPIO20[]|L_GPIO21[]|L_GPIO22[]
PIN_ETH_CFG_ETH_EXTPHYCLK,256,"ETH_EXTPHYCLK	    RMII_1(L_GPIO[9]) RMII_2||RMGII(D_GPIO[0])",L_GPIO9[]|D_GPIO0[]
